CustomerID,Name,Email,Age,Gender,Location,PurchaseHistory
C001,Robert Adams,willie38@example.org,63,F,West Heatherville,"['T00821', 'T00460']"
C002,Tony Wade,matthew19@example.org,59,F,Kingview,['T00203']
C003,Cody Reed,jillwright@example.com,52,F,North Samanthaville,"['T00158', 'T00243', 'T00511', 'T00190', 'T00296']"
C004,Julie Anthony,dean60@example.org,42,M,Jacobmouth,"['T00074', 'T00445']"
C005,Lisa Simpson,paulthomas@example.org,42,F,South Bobhaven,"['T00403', 'T00162', 'T00591']"
C006,Chad Bell,victoria22@example.net,48,F,Jesseborough,"['T00462', 'T00578', 'T00671', 'T00428']"
C007,Jeffrey Green,pruittshannon@example.net,19,M,Mikeberg,"['T00204', 'T00779']"
C008,Julie Palmer DDS,kmcdonald@example.com,40,F,East Bianca,"['T00296', 'T00029']"
C009,Kristin Fisher,campbellkeith@example.org,21,M,New Jessicaport,"['T00930', 'T00370', 'T00647']"
C010,Amy Floyd,allentyler@example.net,62,F,Port Elizabethmouth,"['T00347', 'T00888']"
C011,Kathryn Turner,scottwhitney@example.org,69,M,Clarkside,"['T00886', 'T00757', 'T00394']"
C012,Eric Whitehead,calebrios@example.com,24,M,New Emilyton,"['T00005', 'T00913', 'T00563', 'T00407', 'T00311']"
C013,Melissa Dixon,edwardjimenez@example.com,44,F,Jamesburgh,"['T00416', 'T00222', 'T00583', 'T00168']"
C014,Cheryl Robinson,austinhall@example.net,48,M,East Jamie,"['T00078', 'T00482', 'T00503']"
C015,Stephanie Hess,mosleycharles@example.org,18,F,Lake Charles,"['T00513', 'T00402']"
C016,Candice Moore,kellydiaz@example.org,63,M,South Emilyshire,"['T00042', 'T00423', 'T00657', 'T00954', 'T00993']"
C017,Andrea Phillips,denise74@example.com,21,M,East Dianaside,['T00271']
C018,Janet Brooks,cindy62@example.net,35,M,Kimhaven,"['T00704', 'T00145', 'T00168', 'T00252']"
C019,Kenneth Cherry,zhernandez@example.com,28,M,South Deborah,"['T00448', 'T00999', 'T00363', 'T00118']"
C020,Henry Butler,bookeranthony@example.com,63,M,Davidtown,"['T00746', 'T00676', 'T00930', 'T00544']"
C021,Dustin Nichols,carriecarlson@example.org,32,M,Williammouth,"['T00119', 'T00208', 'T00591', 'T00005']"
C022,Kyle Clay,pperez@example.com,68,F,Staceyhaven,"['T00806', 'T00232', 'T00609']"
C023,Tonya Stuart,rebeccahernandez@example.net,58,M,New Teresa,"['T00327', 'T00381']"
C024,Alicia Ramirez,wmorris@example.net,43,M,Brownland,"['T00010', 'T00219', 'T00753']"
C025,Roger Christensen,nmay@example.net,43,F,Port Emilyville,"['T00586', 'T00308', 'T00617', 'T00469', 'T00208']"
C026,Thomas Conner,kevin92@example.net,18,F,Hernandezberg,"['T00197', 'T00185', 'T00295']"
C027,Tyler Powers,veronicabrown@example.org,40,F,Mooreberg,['T00292']
C028,Johnny Raymond,aross@example.net,36,F,West Davidton,"['T00459', 'T00185']"
C029,Rebecca Perry,halejennifer@example.com,32,F,Mitchellburgh,"['T00873', 'T00470', 'T00179', 'T00835']"
C030,April Valdez,grodriguez@example.com,44,M,Ninaburgh,"['T00798', 'T00595']"
C031,Mr. Gary Robbins,max54@example.com,58,M,Kristinburgh,"['T00997', 'T00618', 'T00394', 'T00526']"
C032,Audrey Garcia,kim06@example.com,56,M,North Alan,"['T00206', 'T00037', 'T00534']"
C033,Michelle Johnson,marcallen@example.com,28,F,East Jennifer,"['T00688', 'T00022', 'T00625', 'T00883']"
C034,Eugene Smith,yhughes@example.org,51,F,Waltermouth,"['T00004', 'T00838']"
C035,Beth Turner,ianderson@example.org,66,F,Port Amber,"['T00967', 'T00331', 'T00183', 'T00245', 'T00756']"
C036,Gregory Arias,rogerschase@example.net,22,M,Davisstad,"['T00377', 'T00739', 'T00675', 'T00408', 'T00522']"
C037,Karen Skinner,walshrebecca@example.org,54,M,Josephshire,['T00027']
C038,Joanna Reid,jeffreyhumphrey@example.com,35,F,Lopezton,"['T00961', 'T00244']"
C039,Samantha Gomez,tbennett@example.com,43,M,Kevinmouth,"['T00854', 'T00298']"
C040,Andrea Horn,brandynguyen@example.org,32,M,East Melanie,"['T00242', 'T00239', 'T00287', 'T00685']"
C041,Katrina Henson,joshuasnyder@example.com,69,M,Acostachester,"['T00716', 'T00107', 'T00635']"
C042,Teresa Blake,bfranco@example.com,35,M,Fullerborough,"['T00712', 'T00941']"
C043,Kathleen Diaz,shanelee@example.org,54,M,North Bryan,"['T00345', 'T00153', 'T00500']"
C044,Maureen Flores,bowersrobert@example.org,47,F,New Joshuafort,['T00492']
C045,Steven West,jill05@example.org,56,F,East Mariamouth,['T00354']
C046,Victoria Ward,mariah34@example.com,29,M,Susanville,"['T00932', 'T00077', 'T00890', 'T00063']"
C047,Joseph Perez,belliott@example.org,60,M,North Nicole,"['T00088', 'T00678']"
C048,Nicholas Nelson,michael31@example.net,57,M,Hansenhaven,"['T00613', 'T00055', 'T00977', 'T00247', 'T00673']"
C049,Jason Herman,twilson@example.net,39,M,Rachelchester,['T00414']
C050,Melissa Walter,crawfordbrenda@example.net,57,M,East Dennis,['T00471']
C051,Miss Molly Harris DVM,bautistamiguel@example.net,54,M,Sarastad,"['T00961', 'T00466', 'T00521', 'T00121', 'T00668']"
C052,April Meza,ramseylarry@example.org,25,F,South Sarahborough,"['T00062', 'T00944']"
C053,John Campbell,vmatthews@example.net,49,M,Heberttown,"['T00348', 'T00959', 'T00442']"
C054,Heather Kirk,hawkinsjoanna@example.net,61,F,Lambertshire,['T00612']
C055,Michael Buchanan,jguzman@example.org,59,F,Katherinestad,"['T00440', 'T00818', 'T00013', 'T00227', 'T00053']"
C056,Michael Anderson,madison42@example.net,70,F,Jonathanside,"['T00328', 'T00724']"
C057,John Spencer,danielle79@example.net,37,M,Lake Jaimeville,"['T00021', 'T00540', 'T00982', 'T00309', 'T00333']"
C058,Helen Ellis,gregbrown@example.com,47,M,Samanthaburgh,"['T00788', 'T00036', 'T00377', 'T00247', 'T00643']"
C059,Michael Davidson,revans@example.com,67,M,Brittanyland,"['T00092', 'T00880', 'T00647', 'T00367', 'T00239']"
C060,Mr. Steven Hunt MD,james17@example.net,25,F,South Robertville,"['T00029', 'T00917', 'T00665', 'T00982', 'T00983']"
C061,Jimmy Wolf,vegacharles@example.net,69,M,Cooperburgh,"['T00520', 'T00824', 'T00491']"
C062,Andrew Nash MD,mcclaindaniel@example.net,44,F,South Caitlin,"['T00031', 'T00031', 'T00240']"
C063,Heather Bennett,kristashort@example.com,58,F,East Sarah,['T00698']
C064,Michelle Murphy,adam55@example.org,24,M,Carrollbury,['T00400']
C065,Isaac Myers,edwardsummers@example.org,53,F,West Jesus,"['T00442', 'T00555', 'T00386', 'T00714', 'T00004']"
C066,Lisa King,cvargas@example.com,23,F,Rachelfort,"['T00290', 'T00106']"
C067,Joshua Anderson,cmartinez@example.com,50,M,Pamelaport,"['T00906', 'T00265', 'T00090', 'T00374', 'T00014']"
